fileName,cilium_number_automatic,cilium_number_clemens,comments
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,17,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,16,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,15,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,18,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,5,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,1,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,4,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,2,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,6,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,3,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,7,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,10,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,8,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,9,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,NA,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,11,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,13,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,12,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,14,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,15,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,16,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,18,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,17,19,NA
